,label,vector
75,/content/drive/My Drive/faces94/male/9338489/9338489.6.jpg,[ 68 170 114 ...  15  15  21]
76,/content/drive/My Drive/faces94/male/9338489/9338489.5.jpg,[ 73 168 107 ...  17  15  21]
77,/content/drive/My Drive/faces94/male/9338489/9338489.7.jpg,[ 74 167 108 ...  16  14  20]
78,/content/drive/My Drive/faces94/male/9338489/9338489.9.jpg,[ 74 169 112 ...  14  14  20]
79,/content/drive/My Drive/faces94/male/9338489/9338489.8.jpg,[ 76 172 112 ...  13  14  18]
80,/content/drive/My Drive/faces94/male/9338527/9338527.1.jpg,[ 74 158 104 ...  33  62  48]
81,/content/drive/My Drive/faces94/male/9338527/9338527.10.jpg,[ 67 160 105 ...  38  41  26]
82,/content/drive/My Drive/faces94/male/9338527/9338527.11.jpg,[ 66 159 104 ...  32  32  21]
83,/content/drive/My Drive/faces94/male/9338527/9338527.12.jpg,[ 64 158 104 ...  30  28  16]
84,/content/drive/My Drive/faces94/male/9338527/9338527.17.jpg,[ 64 159  98 ...  22  26  14]
85,/content/drive/My Drive/faces94/male/9338527/9338527.18.jpg,[ 62 155 100 ...  23  25  16]
86,/content/drive/My Drive/faces94/male/9338527/9338527.19.jpg,[ 61 154  99 ...  27  23  15]
87,/content/drive/My Drive/faces94/male/9338527/9338527.16.jpg,[ 65 157 102 ...  28  32  20]
88,/content/drive/My Drive/faces94/male/9338527/9338527.15.jpg,[ 64 158 103 ...  27  30  18]
89,/content/drive/My Drive/faces94/male/9338527/9338527.14.jpg,[ 68 159 100 ...  33  35  20]
90,/content/drive/My Drive/faces94/male/9338527/9338527.13.jpg,[ 67 160 105 ...  29  29  18]
91,/content/drive/My Drive/faces94/male/9338527/9338527.2.jpg,[ 67 164 108 ...  33  62  42]
92,/content/drive/My Drive/faces94/male/9338527/9338527.3.jpg,[ 66 161 104 ...  35  63  46]
93,/content/drive/My Drive/faces94/male/9338527/9338527.4.jpg,[ 67 159 104 ...  37  62  45]
94,/content/drive/My Drive/faces94/male/9338527/9338527.5.jpg,[ 69 162 107 ...  26  64  46]
95,/content/drive/My Drive/faces94/male/9338527/9338527.20.jpg,[ 62 155  94 ...  23  26  15]
96,/content/drive/My Drive/faces94/male/9338527/9338527.6.jpg,[ 67 162 105 ...  33  60  42]
97,/content/drive/My Drive/faces94/male/9338527/9338527.9.jpg,[ 64 161  99 ...  50  56  38]
98,/content/drive/My Drive/faces94/male/9338527/9338527.7.jpg,[ 66 161 104 ...  47  58  40]
99,/content/drive/My Drive/faces94/male/9338527/9338527.8.jpg,[ 65 163 107 ...  47  56  39]
100,/content/drive/My Drive/faces94/male/9332898/9332898.11.jpg,[ 90 199 127 ...  13  10   8]
101,/content/drive/My Drive/faces94/male/9332898/9332898.10.jpg,[ 94 199 128 ...  15  11  10]
102,/content/drive/My Drive/faces94/male/9332898/9332898.12.jpg,[ 94 201 124 ...  12  12   9]
103,/content/drive/My Drive/faces94/male/9332898/9332898.1.jpg,[ 86 200 130 ...  19  16  15]
104,/content/drive/My Drive/faces94/male/9332898/9332898.13.jpg,[ 95 199 128 ...  13  11  11]
105,/content/drive/My Drive/faces94/male/9332898/9332898.18.jpg,[ 93 199 123 ...  13  10   9]
106,/content/drive/My Drive/faces94/male/9332898/9332898.19.jpg,[ 92 200 127 ...  13  10   9]
107,/content/drive/My Drive/faces94/male/9332898/9332898.14.jpg,[ 91 201 123 ...  11   9   8]
108,/content/drive/My Drive/faces94/male/9332898/9332898.17.jpg,[ 95 199 128 ...  15  12  11]
109,/content/drive/My Drive/faces94/male/9332898/9332898.16.jpg,[ 94 198 127 ...  10  10   9]
110,/content/drive/My Drive/faces94/male/9332898/9332898.15.jpg,[ 95 200 126 ...  10  10   9]
111,/content/drive/My Drive/faces94/male/9332898/9332898.2.jpg,[ 90 202 125 ...  11  12   9]
112,/content/drive/My Drive/faces94/male/9332898/9332898.3.jpg,[ 96 201 125 ...  10   9   7]
113,/content/drive/My Drive/faces94/male/9332898/9332898.20.jpg,[ 97 197 127 ...  11  11   8]
114,/content/drive/My Drive/faces94/male/9332898/9332898.4.jpg,[ 92 198 127 ...  16  13  12]
115,/content/drive/My Drive/faces94/male/9332898/9332898.5.jpg,[ 92 202 125 ...  17  14  13]
116,/content/drive/My Drive/faces94/male/9332898/9332898.6.jpg,[ 90 202 124 ...  17  14  13]
117,/content/drive/My Drive/faces94/male/9332898/9332898.7.jpg,[ 91 200 123 ...  19  14  12]
118,/content/drive/My Drive/faces94/male/9332898/9332898.9.jpg,[ 91 199 126 ...  14  11  10]
119,/content/drive/My Drive/faces94/male/9332898/9332898.8.jpg,[ 92 200 127 ...  18  14  11]
120,/content/drive/My Drive/faces94/male/9326871/9326871.1.jpg,[ 65 154 104 ...  67  81  85]
121,/content/drive/My Drive/faces94/male/9326871/9326871.10.jpg,[ 66 154 101 ...  59  77  77]
122,/content/drive/My Drive/faces94/male/9326871/9326871.11.jpg,[ 62 151 102 ...  55  64  68]
123,/content/drive/My Drive/faces94/male/9326871/9326871.13.jpg,[ 64 152  99 ...  53  66  67]
124,/content/drive/My Drive/faces94/male/9326871/9326871.12.jpg,[ 65 154 104 ...  54  67  70]
125,/content/drive/My Drive/faces94/male/9326871/9326871.14.jpg,[ 62 151 102 ...  54  70  72]
126,/content/drive/My Drive/faces94/male/9326871/9326871.17.jpg,[ 64 150  99 ...  54  71  74]
127,/content/drive/My Drive/faces94/male/9326871/9326871.16.jpg,[ 62 151 102 ...  50  58  58]
128,/content/drive/My Drive/faces94/male/9326871/9326871.15.jpg,[ 62 151 101 ...  47  63  65]
129,/content/drive/My Drive/faces94/male/9326871/9326871.18.jpg,[ 65 148 101 ...  64  72  79]
130,/content/drive/My Drive/faces94/male/9326871/9326871.2.jpg,[ 70 154 101 ...  69  78  81]
131,/content/drive/My Drive/faces94/male/9326871/9326871.19.jpg,[ 65 153 100 ...  56  72  75]
132,/content/drive/My Drive/faces94/male/9326871/9326871.7.jpg,[ 62 154 103 ...  69  85  88]
133,/content/drive/My Drive/faces94/male/9326871/9326871.6.jpg,[ 61 156 101 ...  66  81  82]
134,/content/drive/My Drive/faces94/male/9326871/9326871.8.jpg,[ 68 153 104 ...  68  82  80]
135,/content/drive/My Drive/faces94/male/9326871/9326871.20.jpg,[ 60 151 102 ...  53  69  72]
136,/content/drive/My Drive/faces94/male/9326871/9326871.5.jpg,[ 66 155 105 ...  56  70  72]
137,/content/drive/My Drive/faces94/male/9326871/9326871.4.jpg,[ 65 154 104 ...  57  69  70]
138,/content/drive/My Drive/faces94/male/9326871/9326871.3.jpg,[ 64 153 103 ...  61  73  73]
139,/content/drive/My Drive/faces94/male/9326871/9326871.9.jpg,[ 69 152 104 ...  54  72  71]
140,/content/drive/My Drive/faces94/male/9338497/9338497.1.jpg,[ 94 211 132 ...  32 112  82]
141,/content/drive/My Drive/faces94/male/9338497/9338497.10.jpg,[ 92 214 134 ...  28 111  83]
142,/content/drive/My Drive/faces94/male/9338497/9338497.11.jpg,[ 93 211 135 ...  30 111  84]
143,/content/drive/My Drive/faces94/male/9338497/9338497.12.jpg,[ 98 213 134 ...  36 111  83]
144,/content/drive/My Drive/faces94/male/9338497/9338497.14.jpg,[ 96 213 134 ...  32 112  82]
145,/content/drive/My Drive/faces94/male/9338497/9338497.15.jpg,[ 98 212 133 ...  30 111  84]
146,/content/drive/My Drive/faces94/male/9338497/9338497.13.jpg,[ 98 214 131 ...  31 112  83]
147,/content/drive/My Drive/faces94/male/9338497/9338497.16.jpg,[ 93 209 132 ...  30 109  82]
148,/content/drive/My Drive/faces94/male/9338497/9338497.17.jpg,[104 212 129 ...  31 112  82]
149,/content/drive/My Drive/faces94/male/9338497/9338497.2.jpg,[ 92 211 133 ...  30 111  83]
150,/content/drive/My Drive/faces94/male/9338497/9338497.19.jpg,[ 98 212 133 ...  31 109  85]
151,/content/drive/My Drive/faces94/male/9338497/9338497.18.jpg,[ 93 212 133 ...  31 112  81]
152,/content/drive/My Drive/faces94/male/9338497/9338497.20.jpg,[ 93 210 131 ...  27 108  83]
153,/content/drive/My Drive/faces94/male/9338497/9338497.4.jpg,[ 89 214 128 ...  30 112  85]
154,/content/drive/My Drive/faces94/male/9338497/9338497.3.jpg,[ 92 213 135 ...  29 111  88]
155,/content/drive/My Drive/faces94/male/9338497/9338497.5.jpg,[ 93 212 133 ...  33 112  84]
156,/content/drive/My Drive/faces94/male/9338497/9338497.7.jpg,[ 93 213 132 ...  32 112  84]
157,/content/drive/My Drive/faces94/male/9338497/9338497.6.jpg,[ 96 213 134 ...  34 112  86]
158,/content/drive/My Drive/faces94/male/9338497/9338497.9.jpg,[ 99 212 132 ...  30 111  83]
159,/content/drive/My Drive/faces94/male/9338497/9338497.8.jpg,[ 91 211 131 ...  30 111  83]
160,/content/drive/My Drive/faces94/male/9338462/9338462.1.jpg,[ 47 107  66 ...  25  76  56]
161,/content/drive/My Drive/faces94/male/9338462/9338462.10.jpg,[ 51 109  68 ...  21  76  57]
162,/content/drive/My Drive/faces94/male/9338462/9338462.11.jpg,[ 50 107  68 ...  28  74  54]
163,/content/drive/My Drive/faces94/male/9338462/9338462.16.jpg,[ 53 110  69 ...  26  77  57]
164,/content/drive/My Drive/faces94/male/9338462/9338462.17.jpg,[ 52 110  69 ...  25  75  57]
165,/content/drive/My Drive/faces94/male/9338462/9338462.15.jpg,[ 51 109  68 ...  22  78  57]
166,/content/drive/My Drive/faces94/male/9338462/9338462.14.jpg,[ 47 110  71 ...  22  75  61]
167,/content/drive/My Drive/faces94/male/9338462/9338462.13.jpg,[ 52 110  69 ...  26  75  59]
168,/content/drive/My Drive/faces94/male/9338462/9338462.12.jpg,[ 48 109  71 ...  26  77  57]
169,/content/drive/My Drive/faces94/male/9338462/9338462.18.jpg,[ 52 109  71 ...  22  78  57]
170,/content/drive/My Drive/faces94/male/9338462/9338462.2.jpg,[ 46 109  67 ...  22  75  55]
171,/content/drive/My Drive/faces94/male/9338462/9338462.19.jpg,[ 47 110  68 ...  26  79  59]
172,/content/drive/My Drive/faces94/male/9338462/9338462.3.jpg,[ 47 106  65 ...  23  74  54]
173,/content/drive/My Drive/faces94/male/9338462/9338462.20.jpg,[ 51 109  68 ...  23  78  54]
174,/content/drive/My Drive/faces94/male/9338462/9338462.4.jpg,[ 47 105  64 ...  23  72  56]
175,/content/drive/My Drive/faces94/male/9338462/9338462.5.jpg,[ 51 107  66 ...  24  74  56]
176,/content/drive/My Drive/faces94/male/9338462/9338462.7.jpg,[ 48 111  69 ...  26  77  57]
177,/content/drive/My Drive/faces94/male/9338462/9338462.9.jpg,[ 45 109  67 ...  24  76  58]
178,/content/drive/My Drive/faces94/male/9338462/9338462.6.jpg,[ 50 108  67 ...  28  75  56]
179,/content/drive/My Drive/faces94/male/9338462/9338462.8.jpg,[ 47 109  69 ...  25  76  56]
180,/content/drive/My Drive/faces94/male/9338543/9338543.10.jpg,[ 64 129  86 ... 112  90  88]
181,/content/drive/My Drive/faces94/male/9338543/9338543.1.jpg,[ 60 130  83 ...  70  57  60]
182,/content/drive/My Drive/faces94/male/9338543/9338543.11.jpg,[ 60 131  87 ...  96  75  72]
183,/content/drive/My Drive/faces94/male/9338543/9338543.12.jpg,[ 63 136  86 ...  71  41  30]
184,/content/drive/My Drive/faces94/male/9338543/9338543.13.jpg,[ 64 136  89 ...  25  29  31]
185,/content/drive/My Drive/faces94/male/9338543/9338543.15.jpg,[ 61 136  86 ... 111 148 231]
186,/content/drive/My Drive/faces94/male/9338543/9338543.14.jpg,[ 61 138  87 ...  76  96 142]
187,/content/drive/My Drive/faces94/male/9338543/9338543.16.jpg,[ 63 138  86 ...  87 108 176]
188,/content/drive/My Drive/faces94/male/9338543/9338543.20.jpg,[ 60 139  88 ... 156 168 221]
189,/content/drive/My Drive/faces94/male/9338543/9338543.18.jpg,[ 60 139  88 ... 112 135 202]
190,/content/drive/My Drive/faces94/male/9338543/9338543.19.jpg,[ 62 136  88 ... 150 162 223]
191,/content/drive/My Drive/faces94/male/9338543/9338543.2.jpg,[ 57 131  83 ... 100  92 110]
192,/content/drive/My Drive/faces94/male/9338543/9338543.17.jpg,[ 64 139  86 ... 112 127 191]
193,/content/drive/My Drive/faces94/male/9338543/9338543.3.jpg,[ 58 130  83 ... 112 106 120]
194,/content/drive/My Drive/faces94/male/9338543/9338543.4.jpg,[ 60 130  83 ... 130 131 153]
195,/content/drive/My Drive/faces94/male/9338543/9338543.6.jpg,[ 57 131  83 ... 104  94 110]
196,/content/drive/My Drive/faces94/male/9338543/9338543.7.jpg,[ 60 129  82 ...  91  75  79]
197,/content/drive/My Drive/faces94/male/9338543/9338543.8.jpg,[ 61 132  82 ...  90  69  69]
198,/content/drive/My Drive/faces94/male/9338543/9338543.9.jpg,[ 61 132  82 ... 108  82  75]
199,/content/drive/My Drive/faces94/male/9338543/9338543.5.jpg,[ 59 132  82 ... 115 110 128]
200,/content/drive/My Drive/faces94/male/ajsega/ajsega.1.jpg,[ 88 201 127 ...  46 142 103]
201,/content/drive/My Drive/faces94/male/ajsega/ajsega.14.jpg,[ 85 200 127 ...  43 139 102]
202,/content/drive/My Drive/faces94/male/ajsega/ajsega.15.jpg,[ 94 198 127 ...  44 140 103]
203,/content/drive/My Drive/faces94/male/ajsega/ajsega.17.jpg,[ 92 200 126 ...  44 138 104]
204,/content/drive/My Drive/faces94/male/ajsega/ajsega.18.jpg,[ 91 200 132 ...  43 140 101]
205,/content/drive/My Drive/faces94/male/ajsega/ajsega.12.jpg,[ 96 202 125 ...  44 137 100]
206,/content/drive/My Drive/faces94/male/ajsega/ajsega.13.jpg,[ 91 198 127 ...  44 140 104]
207,/content/drive/My Drive/faces94/male/ajsega/ajsega.10.jpg,[ 94 201 128 ...  43 139 102]
208,/content/drive/My Drive/faces94/male/ajsega/ajsega.11.jpg,[ 90 200 128 ...  43 139 102]
209,/content/drive/My Drive/faces94/male/ajsega/ajsega.16.jpg,[ 90 196 125 ...  40 139 104]
210,/content/drive/My Drive/faces94/male/ajsega/ajsega.19.jpg,[ 88 199 125 ...  47 139 104]
211,/content/drive/My Drive/faces94/male/ajsega/ajsega.2.jpg,[ 94 200 122 ...  44 141 102]
212,/content/drive/My Drive/faces94/male/ajsega/ajsega.20.jpg,[ 86 199 127 ...  44 139 103]
213,/content/drive/My Drive/faces94/male/ajsega/ajsega.3.jpg,[ 94 199 125 ...  43 139 104]
214,/content/drive/My Drive/faces94/male/ajsega/ajsega.4.jpg,[ 91 198 127 ...  42 140 104]
215,/content/drive/My Drive/faces94/male/ajsega/ajsega.5.jpg,[ 88 201 127 ...  45 139 104]
216,/content/drive/My Drive/faces94/male/ajsega/ajsega.6.jpg,[ 90 200 125 ...  44 140 104]
217,/content/drive/My Drive/faces94/male/ajsega/ajsega.8.jpg,[ 93 202 130 ...  49 141 106]
218,/content/drive/My Drive/faces94/male/ajsega/ajsega.7.jpg,[ 90 200 128 ...  45 141 104]
219,/content/drive/My Drive/faces94/male/ajsega/ajsega.9.jpg,[ 97 200 128 ...  45 141 105]
220,/content/drive/My Drive/faces94/male/akatsi/akatsi.1.jpg,[ 76 183 121 ...  33 124  91]
221,/content/drive/My Drive/faces94/male/akatsi/akatsi.11.jpg,[ 76 185 117 ...  37 122  93]
222,/content/drive/My Drive/faces94/male/akatsi/akatsi.10.jpg,[ 75 181 122 ...  36 124  94]
223,/content/drive/My Drive/faces94/male/akatsi/akatsi.12.jpg,[ 73 178 116 ...  34 121  92]
224,/content/drive/My Drive/faces94/male/akatsi/akatsi.14.jpg,[ 76 184 119 ...  35 124  92]
225,/content/drive/My Drive/faces94/male/akatsi/akatsi.15.jpg,[ 75 181 115 ...  36 124  91]
226,/content/drive/My Drive/faces94/male/akatsi/akatsi.16.jpg,[ 76 183 121 ...  37 124  98]
227,/content/drive/My Drive/faces94/male/akatsi/akatsi.13.jpg,[ 76 179 121 ...  37 123  93]
228,/content/drive/My Drive/faces94/male/akatsi/akatsi.3.jpg,[ 80 183 118 ...  31 124  95]
229,/content/drive/My Drive/faces94/male/akatsi/akatsi.17.jpg,[ 75 183 117 ...  33 126  99]
230,/content/drive/My Drive/faces94/male/akatsi/akatsi.5.jpg,[ 77 180 122 ...  37 125  93]
231,/content/drive/My Drive/faces94/male/akatsi/akatsi.4.jpg,[ 74 182 117 ...  31 123  93]
232,/content/drive/My Drive/faces94/male/akatsi/akatsi.6.jpg,[ 76 182 116 ...  36 125  99]
233,/content/drive/My Drive/faces94/male/akatsi/akatsi.19.jpg,[ 78 189 121 ...  45 126  98]
234,/content/drive/My Drive/faces94/male/akatsi/akatsi.18.jpg,[ 80 186 120 ...  40 128  98]
235,/content/drive/My Drive/faces94/male/akatsi/akatsi.20.jpg,[ 82 188 121 ...  50 122 104]
236,/content/drive/My Drive/faces94/male/akatsi/akatsi.2.jpg,[ 77 182 121 ...  34 125  92]
237,/content/drive/My Drive/faces94/male/akatsi/akatsi.7.jpg,[ 75 182 120 ...  36 124  95]
238,/content/drive/My Drive/faces94/male/akatsi/akatsi.8.jpg,[ 79 182 117 ...  39 128  93]
239,/content/drive/My Drive/faces94/male/akatsi/akatsi.9.jpg,[ 78 185 116 ...  31 124  97]
240,/content/drive/My Drive/faces94/male/ambarw/ambarw.1.jpg,[ 77 188 126 ... 150 220 253]
241,/content/drive/My Drive/faces94/male/ambarw/ambarw.10.jpg,[ 84 191 129 ... 150 219 253]
242,/content/drive/My Drive/faces94/male/ambarw/ambarw.12.jpg,[ 85 191 125 ... 152 217 253]
243,/content/drive/My Drive/faces94/male/ambarw/ambarw.13.jpg,[ 81 190 122 ... 150 222 253]
244,/content/drive/My Drive/faces94/male/ambarw/ambarw.11.jpg,[ 86 188 126 ... 149 219 254]
245,/content/drive/My Drive/faces94/male/ambarw/ambarw.18.jpg,[ 86 189 122 ... 157 232 254]
246,/content/drive/My Drive/faces94/male/ambarw/ambarw.19.jpg,[ 85 187 127 ... 158 224 252]
247,/content/drive/My Drive/faces94/male/ambarw/ambarw.2.jpg,[ 83 185 127 ... 145 219 253]
248,/content/drive/My Drive/faces94/male/ambarw/ambarw.15.jpg,[ 75 191 124 ... 155 226 254]
249,/content/drive/My Drive/faces94/male/ambarw/ambarw.14.jpg,[ 78 189 127 ... 158 219 254]
250,/content/drive/My Drive/faces94/male/ambarw/ambarw.17.jpg,[ 84 188 123 ... 156 223 253]
251,/content/drive/My Drive/faces94/male/ambarw/ambarw.16.jpg,[ 85 189 127 ... 155 226 254]
252,/content/drive/My Drive/faces94/male/ambarw/ambarw.20.jpg,[ 83 189 122 ... 168 231 255]
253,/content/drive/My Drive/faces94/male/ambarw/ambarw.4.jpg,[ 82 192 124 ... 142 220 252]
254,/content/drive/My Drive/faces94/male/ambarw/ambarw.5.jpg,[ 83 191 125 ... 154 218 254]
255,/content/drive/My Drive/faces94/male/ambarw/ambarw.3.jpg,[ 84 193 121 ... 146 220 253]
256,/content/drive/My Drive/faces94/male/ambarw/ambarw.6.jpg,[ 83 191 125 ... 157 223 253]
257,/content/drive/My Drive/faces94/male/ambarw/ambarw.7.jpg,[ 80 188 126 ... 160 222 254]
258,/content/drive/My Drive/faces94/male/ambarw/ambarw.9.jpg,[ 83 187 129 ... 151 224 254]
259,/content/drive/My Drive/faces94/male/ambarw/ambarw.8.jpg,[ 83 187 126 ... 156 220 250]
260,/content/drive/My Drive/faces94/male/ajones/ajones.1.jpg,[ 44 105  69 ...  91  51  49]
261,/content/drive/My Drive/faces94/male/ajones/ajones.10.jpg,[ 41 107  66 ...  96  53  54]
262,/content/drive/My Drive/faces94/male/ajones/ajones.11.jpg,[ 43 105  65 ...  96  53  54]
263,/content/drive/My Drive/faces94/male/ajones/ajones.13.jpg,[ 48 104  68 ...  90  54  52]
264,/content/drive/My Drive/faces94/male/ajones/ajones.14.jpg,[ 40 104  68 ...  91  55  55]
265,/content/drive/My Drive/faces94/male/ajones/ajones.12.jpg,[ 44 106  70 ...  90  55  52]
266,/content/drive/My Drive/faces94/male/ajones/ajones.15.jpg,[ 43 104  68 ...  94  54  55]
267,/content/drive/My Drive/faces94/male/ajones/ajones.16.jpg,[ 45 104  69 ...  93  53  54]
